group midiactions @tight @local {
	; delay msgrecvr pitch velocity duration
0.0,mnote,48.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
0.0,mnote,72.0,80.0,0.95
0.0,mnote,76.0,80.0,0.95
1.0,mnote,60.0,80.0,1.95
0.0,mnote,69.0,80.0,0.95
0.0,mnote,72.0,80.0,0.95
0.0,mnote,76.0,80.0,0.95
1.0,mnote,69.0,80.0,0.95
0.0,mnote,74.0,80.0,0.95
0.0,mnote,77.0,80.0,0.95
1.0,mnote,59.0,80.0,1.95
0.0,mnote,67.0,80.0,0.95
0.0,mnote,71.0,80.0,0.95
0.0,mnote,74.0,80.0,0.95
1.0,mnote,67.0,80.0,0.95
0.0,mnote,72.0,80.0,0.95
0.0,mnote,76.0,80.0,0.95
1.0,mnote,57.0,80.0,0.95
0.0,mnote,72.0,80.0,0.95
0.0,mnote,77.0,80.0,0.95
1.0,mnote,55.0,80.0,0.4729
0.0,mnote,71.0,80.0,0.4729
0.0,mnote,74.0,80.0,0.4729
0.0,mnote,77.0,80.0,0.4729
0.5,mnote,52.0,80.0,0.4729
0.0,mnote,72.0,80.0,0.4729
0.0,mnote,76.0,80.0,0.4729
0.5,mnote,53.0,80.0,0.4729
0.0,mnote,69.0,80.0,0.4729
0.0,mnote,72.0,80.0,0.4729
0.0,mnote,74.0,80.0,0.4729
0.5,mnote,55.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.0,mnote,71.0,80.0,0.4729
0.0,mnote,74.0,80.0,0.4729
0.5,mnote,48.0,80.0,0.95
0.0,mnote,64.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
0.0,mnote,72.0,80.0,0.95
1.5,mnote,60.0,80.0,0.4729
0.5,mnote,59.0,80.0,0.95
0.0,mnote,62.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
0.0,mnote,74.0,80.0,0.95
1.5,mnote,55.0,80.0,0.4729
0.5,mnote,57.0,80.0,0.95
0.0,mnote,64.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
0.0,mnote,72.0,80.0,0.95
1.5,mnote,50.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,66.0,80.0,0.4729
0.0,mnote,72.0,80.0,0.4729
0.5,mnote,52.0,80.0,0.95
0.0,mnote,59.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
0.0,mnote,71.0,80.0,0.95
1.5,mnote,48.0,80.0,0.4729
0.5,mnote,50.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,66.0,80.0,0.4729
0.0,mnote,72.0,80.0,0.4729
0.5,mnote,43.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.0,mnote,71.0,80.0,0.4729
0.5,mnote,50.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.0,mnote,69.0,80.0,0.4729
0.5,mnote,38.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,66.0,80.0,0.4729
0.0,mnote,69.0,80.0,0.4729
0.5,mnote,43.0,80.0,0.95
0.0,mnote,59.0,80.0,0.95
0.0,mnote,62.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
6.5,mnote,55.0,80.0,0.4729
0.0,mnote,59.0,80.0,0.4729
0.0,mnote,64.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.5,mnote,57.0,80.0,0.4729
0.0,mnote,60.0,80.0,0.4729
0.0,mnote,64.0,80.0,0.4729
0.5,mnote,52.0,80.0,0.4729
0.0,mnote,60.0,80.0,0.4729
0.0,mnote,64.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.5,mnote,53.0,80.0,0.4729
0.0,mnote,60.0,80.0,0.95
0.0,mnote,62.0,80.0,0.95
0.0,mnote,69.0,80.0,0.95
0.5,mnote,50.0,80.0,0.4729
0.05,mnote,55.0,80.0,0.4729
0.0,mnote,59.0,80.0,0.95
0.0,mnote,62.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
0.5,mnote,43.0,80.0,0.4729
0.05,mnote,48.0,80.0,0.4729
0.0,mnote,60.0,80.0,0.95
0.0,mnote,64.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
0.5,mnote,50.0,80.0,0.2354
0.25,mnote,52.0,80.0,0.2354
0.05,mnote,53.0,80.0,1.4729
0.0,mnote,57.0,80.0,0.4729
0.0,mnote,60.0,80.0,0.4729
0.0,mnote,65.0,80.0,0.4729
0.5,mnote,57.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,65.0,80.0,0.4729
0.5,mnote,59.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.5,mnote,52.0,80.0,0.2354
0.0,mnote,60.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.25,mnote,53.0,80.0,0.2354
0.0271,mnote,55.0,80.0,0.4729
0.0,mnote,60.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.5,mnote,43.0,80.0,0.4729
0.0,mnote,59.0,80.0,0.4729
0.0,mnote,62.0,80.0,0.4729
0.0,mnote,67.0,80.0,0.4729
0.5,mnote,48.0,80.0,1.45
0.0,mnote,60.0,80.0,0.95
0.0,mnote,64.0,80.0,0.95
0.0,mnote,67.0,80.0,0.95
1.0,mnote,60.0,80.0,0.95
0.0,mnote,64.0,80.0,0.95
